Interval,Processor0,Processor1,Processor2,Processor3,Processor4,Processor5,Processor6,Processor7,Processor8,Processor9,Processor10,Processor11,Processor12,Processor13,Processor14,Processor15,Processor16,Processor17,Processor18,Processor19,Processor20,Processor21,Processor22,Processor23,Processor24,Processor25,Processor26,Processor27,Processor28,Processor29,Processor30,Processor31,Processor32,Processor33,Processor34,Processor35,Processor36,Processor37,Processor38,Processor39,Processor40,Processor41,Processor42,Processor43,Processor44,Processor45,Processor46,Processor47,Processor48,Processor49,Processor50,Processor51,Processor52,Processor53,Processor54,Processor55,Processor56,Processor57,Processor58,Processor59,Processor60,Processor61,Processor62,Processor63,Processor64,Processor65,Processor66,Processor67,Processor68,Processor69,Processor70,Processor71,Processor72,Processor73,Processor74,Processor75,Processor76,Processor77,Processor78,Processor79,Processor80,Processor81,Processor82,Processor83,Processor84,Processor85,Processor86,Processor87,Processor88,Processor89,Processor90,Processor91,Processor92,Processor93,Processor94,Processor95,Processor96,Processor97,Processor98,Processor99,Processor100,Processor101,Processor102,Processor103,Processor104,Processor105,Processor106,Processor107,Processor108,Processor109,Processor110,Processor111,Processor112,Processor113,Processor114,Processor115,Processor116,Processor117,Processor118,Processor119,Processor120,Processor121,Processor122,Processor123,Processor124,Processor125,Processor126,Processor127,Processor128,Processor129,Processor130,Processor131,Processor132,Processor133,Processor134,Processor135,Processor136,Processor137,Processor138,Processor139,Processor140,Processor141,Processor142,Processor143,Total,Max
10,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,84,0,0,174,0,174,0,0,0,0,84,0,0,0,0,0,0,160,0,0,0,0,162,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,170,162,76,0,0,60,0,0,0,0,0,0,96,0,194,0,0,174,0,0,0,112,0,112,0,0,0,0,0,194,0,174,96,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,118,0,0,56,0,56,0,0,0,0,0,0,0,86,0,0,32,0,0,32,118,3508,194
11,0,0,0,42,0,0,0,0,142,0,0,80,0,80,0,180,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,42,0,0,146,0,0,0,0,116,0,0,0,112,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,116,0,0,0,146,0,0,0,0,64,0,0,0,148,174,0,116,0,0,0,0,200,0,0,174,0,0,148,0,116,0,0,200,0,0,0,0,0,0,64,0,0,0,0,0,0,98,0,0,0,0,150,0,0,0,78,0,0,0,98,114,0,0,64,0,0,0,0,150,0,0,0,0,0,0,0,78,0,0,114,64,4048,200
12,0,0,0,0,0,0,166,50,0,0,0,0,0,0,22,0,50,0,0,0,0,0,0,0,0,166,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,36,0,0,0,0,34,0,0,0,0,0,8,0,0,0,0,0,0,0,0,182,116,114,0,8,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,116,114,0,1652,182
13,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,0,0,96,0,0,196,0,0,0,0,0,0,0,156,0,138,0,0,0,4,0,0,0,138,156,0,0,0,196,0,0,0,0,0,18,0,18,0,4,0,0,58,48,0,0,0,0,0,0,0,0,0,0,0,46,46,0,58,0,0,0,0,0,0,0,0,48,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1764,196
14,72,0,0,0,176,0,196,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,176,0,0,0,0,176,0,0,0,196,72,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,142,0,132,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,140,0,0,66,0,0,0,0,0,20,0,0,0,0,0,140,0,0,0,0,0,20,0,0,26,0,0,22,66,26,22,0,100,0,100,0,0,0,0,106,0,0,0,0,132,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,3024,196
15,0,0,0,164,0,186,0,0,162,0,0,0,100,0,0,0,0,164,0,0,0,0,0,162,186,100,0,0,0,0,0,0,0,0,0,0,182,0,60,2,168,0,0,0,0,0,128,0,0,0,0,0,0,0,132,128,0,0,0,168,196,196,0,2,182,60,0,132,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,36,0,0,0,0,0,92,0,0,0,0,178,0,0,0,0,152,0,66,0,114,0,0,92,0,0,0,0,0,0,0,0,0,66,0,0,178,0,0,114,152,4248,196
16,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,92,10,0,0,0,92,0,0,0,0,10,0,0,0,0,160,0,0,0,0,0,0,0,118,60,0,0,0,0,0,118,0,160,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,102,70,0,178,0,8,0,0,0,56,0,0,0,0,0,178,0,130,70,0,0,0,102,0,0,0,0,0,130,0,0,0,56,8,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,180,122,0,94,94,0,122,0,0,0,0,0,180,0,0,0,192,0,0,0,0,192,3572,204
17,0,68,0,0,176,0,68,180,0,0,0,176,0,204,0,204,0,0,0,0,180,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,98,0,0,0,0,0,0,0,0,0,90,0,0,42,0,0,90,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,84,0,126,0,10,124,0,0,0,0,0,154,0,126,0,0,0,56,0,0,0,84,56,154,0,0,0,0,10,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,124,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,166,0,0,0,0,3424,204
18,0,0,0,0,164,0,0,0,196,0,178,0,0,0,0,196,0,0,164,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,10,0,0,0,100,10,0,0,0,48,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,200,0,0,0,78,128,0,0,0,0,0,0,0,200,2232,200
19,0,0,0,0,0,0,0,0,166,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,104,0,132,0,0,0,0,0,0,0,222,132,0,0,0,222,0,104,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,62,0,184,0,0,0,0,62,0,0,0,0,0,0,0,80,128,0,0,0,0,0,0,0,0,94,0,0,128,0,0,80,0,0,0,0,0,54,0,0,0,0,0,0,0,94,0,54,0,2612,222
