Interval,Processor0,Processor1,Processor2,Processor3,Processor4,Processor5,Processor6,Processor7,Processor8,Processor9,Processor10,Processor11,Processor12,Processor13,Processor14,Processor15,Processor16,Processor17,Processor18,Processor19,Processor20,Processor21,Processor22,Processor23,Processor24,Processor25,Processor26,Processor27,Processor28,Processor29,Processor30,Processor31,Processor32,Processor33,Processor34,Processor35,Max,Mean,SD,CV
296,69080.0,92710.0,74902.0,87658.0,76197.0,79606.0,95055.0,105499.0,74925.0,121404.0,95711.0,86777.0,104310.0,71126.0,68986.0,81197.0,79496.0,84486.0,92182.0,75080.0,75953.0,96419.0,69336.0,92225.0,109027.0,99220.0,92471.0,72028.0,79760.0,86525.0,88859.0,71131.0,82200.0,82435.0,109141.0,69882.0,121404.0,85916.63888888889,13077.992670370537,0.15221722869400842
297,76948.0,101534.0,79900.0,99312.0,80928.0,98402.0,113225.0,98421.0,79975.0,115816.0,95784.0,87732.0,104384.0,78153.0,80092.0,87750.0,84267.0,75970.0,89054.0,79110.0,80568.0,80168.0,78034.0,104638.0,115318.0,97461.0,85267.0,78597.0,88062.0,91224.0,84315.0,78689.0,85927.0,92778.0,103694.0,80814.0,115816.0,89786.41666666667,11441.67675740026,0.12743215713661507
298,74491.0,99314.0,73568.0,97409.0,72662.0,112626.0,122511.0,88980.0,77397.0,113273.0,92703.0,82835.0,101680.0,75502.0,76059.0,79516.0,78885.0,76013.0,100685.0,77957.0,74178.0,73808.0,78905.0,112906.0,114214.0,90796.0,76813.0,76229.0,81522.0,97791.0,77052.0,76113.0,78502.0,89844.0,111008.0,79233.0,122511.0,87860.55555555556,14567.546650468646,0.1658030336634665
299,76123.0,111587.0,76505.0,97569.0,72933.0,126370.0,128702.0,85361.0,76433.0,104687.0,90751.0,82067.0,98452.0,76431.0,75778.0,79092.0,76618.0,76489.0,99386.0,76457.0,72884.0,76431.0,89212.0,113454.0,112237.0,79623.0,76685.0,76383.0,79798.0,87889.0,76523.0,78225.0,77275.0,87158.0,115503.0,83017.0,128702.0,88058.0,15687.473948628214,0.17814933281051368
300,79519.0,97709.0,83532.0,91898.0,76798.0,122896.0,130187.0,82546.0,74009.0,98586.0,90524.0,81436.0,95588.0,76542.0,77268.0,75467.0,78225.0,80409.0,114008.0,81007.0,75272.0,79164.0,98221.0,111953.0,103933.0,76659.0,73395.0,73682.0,83495.0,86876.0,78791.0,79124.0,73718.0,82925.0,110355.0,87414.0,130187.0,87864.75,14610.043262493937,0.16627877803662944
301,80664.0,95874.0,96237.0,89604.0,76105.0,120258.0,114499.0,82103.0,72804.0,94226.0,92505.0,80662.0,91092.0,78637.0,82381.0,76753.0,73493.0,84460.0,100261.0,80317.0,80398.0,86490.0,101815.0,109168.0,93106.0,76761.0,75013.0,72828.0,83090.0,87745.0,74492.0,81029.0,73406.0,85615.0,107890.0,93882.0,120258.0,87379.52777777778,12107.442693755016,0.1385615487021911
302,77707.0,93053.0,108680.0,89746.0,83485.0,112924.0,101370.0,81214.0,72227.0,93204.0,89096.0,78701.0,86487.0,78048.0,78869.0,75131.0,76406.0,85369.0,97821.0,78092.0,72079.0,94241.0,102599.0,104950.0,80978.0,75905.0,78856.0,74602.0,83819.0,86942.0,79554.0,82240.0,75527.0,90391.0,100857.0,99973.0,112924.0,86698.41666666667,10880.743363021867,0.12550106197274113
303,80129.0,90313.0,111769.0,89240.0,91966.0,110112.0,92702.0,79101.0,75617.0,92154.0,87949.0,78075.0,86328.0,74863.0,81578.0,76509.0,75030.0,89555.0,96132.0,78045.0,76947.0,98117.0,101285.0,100743.0,74607.0,83283.0,72860.0,75524.0,78386.0,89221.0,76579.0,77149.0,74009.0,87738.0,101204.0,100487.0,111769.0,86258.5,10674.880266047223,0.12375453162351795
304,77326.0,88114.0,117347.0,91696.0,102523.0,101270.0,87387.0,77962.0,73711.0,89417.0,87267.0,76022.0,81557.0,74807.0,77792.0,80854.0,75998.0,89066.0,91776.0,74066.0,78937.0,100546.0,98258.0,93757.0,74585.0,86660.0,77166.0,73223.0,78922.0,86129.0,74802.0,76859.0,73949.0,84743.0,106028.0,102351.0,117347.0,85635.36111111111,11016.347108710708,0.12864250194983234
305,76461.0,74773.0,115994.0,99923.0,112815.0,94625.0,81978.0,78481.0,74294.0,86995.0,85000.0,76437.0,81116.0,81397.0,80475.0,80819.0,79371.0,88679.0,84605.0,76342.0,86189.0,99027.0,93315.0,86557.0,73390.0,86105.0,72249.0,73946.0,78616.0,91237.0,73524.0,74688.0,75587.0,80517.0,104270.0,102630.0,115994.0,85067.41666666667,11125.502249274461,0.13078453167173637
306,82682.0,84395.0,120380.0,84706.0,111221.0,92388.0,84311.0,83537.0,80264.0,89693.0,86000.0,82116.0,84364.0,79972.0,79287.0,85431.0,81704.0,90025.0,78894.0,84796.0,93646.0,96931.0,91338.0,83321.0,77879.0,103619.0,80299.0,80609.0,76654.0,90671.0,83137.0,80274.0,87876.0,86289.0,100083.0,103317.0,120380.0,87836.36111111111,9571.110887436149,0.10896524817699244
307,77477.0,86186.0,108688.0,78791.0,112712.0,89259.0,80087.0,80313.0,75322.0,87682.0,83464.0,80237.0,78755.0,78059.0,72490.0,84992.0,80373.0,86624.0,78846.0,84509.0,98275.0,95670.0,82921.0,77317.0,81075.0,94002.0,74811.0,75973.0,84770.0,88504.0,79439.0,80735.0,87337.0,88050.0,101007.0,100536.0,112712.0,85424.66666666667,9315.596635034532,0.10905043002842112
308,77497.0,96294.0,95703.0,77570.0,111731.0,88901.0,78044.0,78423.0,76080.0,87946.0,82299.0,78974.0,79427.0,82970.0,75450.0,88219.0,84387.0,87311.0,75419.0,90663.0,99958.0,91591.0,77149.0,77909.0,79353.0,87478.0,77472.0,75446.0,81902.0,87098.0,80373.0,87764.0,90217.0,87343.0,101008.0,97682.0,111731.0,85362.52777777778,8541.38489449428,0.10006012142388593
309,79065.0,106966.0,89283.0,83052.0,112921.0,88586.0,79073.0,79207.0,76729.0,86876.0,81002.0,79420.0,80206.0,80032.0,75574.0,87810.0,82111.0,85621.0,79012.0,98408.0,101784.0,87469.0,80552.0,76881.0,80626.0,97802.0,76837.0,76606.0,80969.0,89397.0,74183.0,98799.0,90229.0,87227.0,83420.0,90442.0,112921.0,85671.58333333333,9088.47943942403,0.10608511113962173
310,76834.0,115710.0,85040.0,91808.0,104285.0,85575.0,76766.0,77227.0,77512.0,84017.0,80802.0,80227.0,80016.0,85381.0,81367.0,90332.0,84540.0,84642.0,86053.0,102892.0,102542.0,83992.0,74879.0,76440.0,78092.0,89750.0,78162.0,76641.0,83655.0,90133.0,77336.0,105701.0,94979.0,90298.0,78730.0,85322.0,115710.0,86046.61111111111,9656.090151579578,0.11221929634289451
311,79709.0,118938.0,82992.0,103818.0,98246.0,84775.0,77910.0,78161.0,78262.0,80711.0,82004.0,81574.0,78215.0,85409.0,76608.0,94049.0,74139.0,83355.0,94451.0,103567.0,102628.0,77861.0,86443.0,77990.0,85779.0,92732.0,76360.0,76762.0,83742.0,90057.0,71974.0,108271.0,97123.0,90986.0,77518.0,82827.0,118938.0,86554.05555555556,10748.376644727035,0.12418108632504327
312,82649.0,116449.0,81133.0,116571.0,93225.0,83876.0,76299.0,80695.0,82271.0,81562.0,81207.0,82188.0,82414.0,87359.0,82270.0,95556.0,75374.0,79603.0,102380.0,102730.0,100777.0,76262.0,90431.0,76619.0,80864.0,102449.0,72875.0,77171.0,85398.0,89811.0,71544.0,105282.0,97721.0,89909.0,81867.0,80775.0,116571.0,87376.83333333333,11378.744430101046,0.13022610222886363
