Interval,Processor0,Processor1,Processor2,Processor3,Processor4,Processor5,Processor6,Processor7,Processor8,Processor9,Processor10,Processor11,Processor12,Processor13,Processor14,Processor15,Processor16,Processor17,Processor18,Processor19,Processor20,Processor21,Processor22,Processor23,Processor24,Processor25,Processor26,Processor27,Processor28,Processor29,Processor30,Processor31,Processor32,Processor33,Processor34,Processor35,Total,Max
417,138,86,4,34,194,56,98,86,138,44,14,30,104,56,110,104,160,110,124,50,124,34,94,160,14,68,68,4,30,94,120,50,120,98,194,44,3056,194
418,178,52,16,16,204,42,112,98,142,42,6,24,98,80,116,52,178,132,132,74,42,6,80,142,46,74,46,2,24,102,102,2,116,112,204,42,2936,204
419,200,12,42,58,190,10,122,98,134,34,10,8,90,92,120,34,190,144,144,98,26,22,54,134,54,90,42,8,12,26,92,22,120,122,200,58,2912,200
420,208,32,36,84,172,4,126,120,128,32,10,10,88,82,124,20,172,154,154,128,56,84,36,120,32,88,20,4,6,6,82,32,124,126,208,56,2964,208
421,202,76,56,126,128,16,126,120,128,10,18,24,76,24,128,16,168,152,168,152,84,116,10,116,74,84,2,2,18,56,74,48,128,120,202,48,3096,202
422,186,62,86,182,92,32,116,92,146,4,28,46,66,42,122,32,182,170,146,170,110,122,56,86,46,96,4,28,42,96,56,62,110,116,186,66,3284,186
423,128,116,64,214,46,76,128,92,168,30,36,92,36,6,116,64,122,62,122,168,130,130,92,92,46,98,6,30,76,124,114,62,124,98,214,114,3436,214
424,92,92,100,224,10,74,110,104,144,28,24,144,40,24,110,90,164,170,114,170,164,156,58,28,40,114,10,100,104,156,74,58,90,74,224,74,3552,224
425,44,146,54,190,12,52,116,144,44,4,28,206,12,36,94,116,178,190,94,146,178,168,94,28,68,116,4,144,116,168,68,54,36,52,206,94,3500,206
426,8,146,76,150,62,48,138,126,36,10,4,226,18,58,98,126,174,174,62,138,174,150,98,4,36,150,8,150,146,174,76,48,10,18,226,58,3404,226
427,4,156,60,90,40,44,94,90,94,8,40,234,26,60,72,132,174,160,28,128,160,158,128,28,72,132,8,156,174,158,84,26,44,4,234,84,3384,234
428,22,140,104,32,68,64,134,128,144,2,78,230,30,64,68,134,176,144,22,104,128,170,70,2,32,78,30,176,170,140,88,24,70,24,230,88,3408,230
429,10,142,96,26,64,62,110,114,184,10,110,212,6,66,64,142,160,212,26,96,106,184,82,6,22,94,62,184,160,114,94,22,82,66,184,106,3480,212
430,14,146,62,80,26,86,130,84,204,14,158,208,18,64,62,130,208,158,2,86,86,184,102,2,18,86,80,184,146,84,102,26,92,92,204,64,3492,208
431,12,210,52,110,38,72,120,20,206,20,180,210,38,52,34,120,136,180,12,72,46,178,102,12,46,34,102,178,136,54,110,12,104,104,206,54,3372,210
432,46,154,64,204,36,56,128,36,170,4,204,204,56,54,46,96,96,98,32,64,34,170,108,32,34,4,134,154,108,2,128,2,98,134,204,54,3248,204
433,36,214,34,128,52,66,78,78,164,34,210,214,66,38,32,80,82,164,38,36,2,156,102,2,4,52,156,148,82,32,128,4,102,148,210,80,3252,214
434,22,144,36,130,62,76,98,122,144,56,214,198,82,36,16,62,42,168,48,42,16,122,198,6,22,76,168,136,48,56,130,6,98,136,214,82,3312,214
435,30,134,22,118,42,48,104,156,108,80,216,200,104,24,2,48,14,156,108,14,24,168,200,30,42,118,168,124,22,92,134,2,92,124,216,80,3364,216
436,18,136,44,132,32,58,98,196,104,124,200,186,118,18,4,32,26,200,92,4,26,166,118,44,58,136,166,98,8,186,132,8,92,124,196,104,3484,200
437,10,144,12,140,62,42,86,208,86,156,202,180,140,10,2,12,42,156,180,2,84,202,124,62,84,144,162,72,20,98,124,20,98,162,208,72,3608,208
438,2,152,18,200,52,74,18,188,68,200,200,172,152,6,2,68,52,146,92,6,172,152,118,74,118,146,152,56,56,122,122,18,92,188,200,18,3672,200
439,6,160,46,152,56,6,56,174,46,212,186,166,160,6,18,56,56,132,120,40,166,144,80,94,152,144,132,40,94,186,120,18,80,174,212,6,3696,212
440,20,162,42,156,68,38,104,156,26,218,186,156,162,20,38,104,56,110,104,56,102,136,26,110,174,136,102,42,156,186,104,20,68,174,218,20,3756,218
441,126,158,88,160,80,88,158,130,8,218,166,126,160,28,16,88,48,24,166,62,48,112,24,136,186,112,62,8,130,136,80,16,88,186,218,28,3668,218
442,44,192,38,150,112,150,214,112,26,192,170,126,142,48,66,170,48,10,160,66,126,52,66,160,194,90,44,10,90,142,66,26,38,194,214,52,3800,214
443,40,178,2,180,66,188,230,92,36,186,160,116,136,52,48,116,36,8,186,160,92,20,102,180,178,52,2,8,102,136,48,40,20,188,230,66,3680,230
444,46,150,54,180,30,224,208,66,40,186,150,98,126,54,150,66,16,40,136,84,98,30,136,180,150,16,14,4,126,186,14,46,4,208,224,84,3624,224
445,50,174,106,158,12,226,190,32,62,174,146,78,116,116,146,32,4,62,106,100,78,68,158,174,100,68,12,4,174,108,8,50,8,190,226,108,3624,226
446,54,158,148,164,50,216,164,16,130,166,130,54,118,118,84,12,44,84,164,50,2,104,158,164,44,166,54,12,104,120,16,54,2,148,216,120,3608,216
447,118,148,188,140,92,188,144,8,114,162,118,48,114,162,96,38,38,96,144,46,26,128,144,148,14,92,48,14,144,128,26,46,8,188,188,140,3684,188
448,62,178,206,136,136,178,126,6,126,156,122,34,108,104,122,44,108,104,112,34,62,136,132,112,34,136,44,6,156,132,34,34,34,150,206,150,3760,206
449,106,112,210,150,164,162,106,10,86,144,112,22,88,162,66,66,78,104,144,10,86,140,114,78,88,140,50,22,104,114,26,26,50,164,210,150,3664,210
450,136,4,208,152,180,136,78,30,128,128,92,62,86,92,30,64,88,88,64,30,110,136,92,30,98,136,86,62,92,110,78,4,98,180,208,152,3548,208
451,74,54,180,98,202,150,68,22,130,130,78,40,68,120,54,74,94,94,62,62,120,126,54,22,54,138,78,40,150,126,68,68,98,180,202,138,3516,202
452,128,100,156,18,196,128,54,54,82,104,68,46,58,100,68,82,104,78,6,104,144,110,18,6,78,156,104,46,110,122,58,112,112,144,196,122,3372,196
453,128,140,140,36,180,128,34,60,82,114,60,58,50,130,32,94,94,66,32,136,132,82,58,34,114,140,66,50,104,136,36,140,130,180,132,104,3432,180
454,84,176,112,88,166,116,18,72,116,106,50,72,42,148,18,102,102,62,84,148,134,54,112,42,82,166,54,50,88,130,62,134,130,176,106,82,3484,176
455,76,192,80,136,150,118,8,52,58,96,52,76,24,132,8,110,118,52,118,154,132,22,110,52,118,136,96,22,150,132,80,154,132,192,24,58,3420,192
456,22,192,78,164,134,100,42,78,10,110,42,96,4,152,4,116,110,42,152,156,124,44,126,42,134,164,100,22,116,124,96,156,126,192,10,44,3424,192
457,70,172,60,190,128,94,60,32,56,94,18,120,18,146,24,120,120,6,168,146,108,70,130,56,128,172,94,24,108,120,94,168,130,190,32,6,3472,190
458,114,152,16,198,102,48,40,82,102,82,28,130,48,124,64,114,64,28,178,136,90,114,136,102,102,178,130,46,90,114,46,152,124,198,40,16,3528,198
459,164,124,8,180,90,20,38,60,154,74,8,122,20,122,76,102,26,74,174,120,26,174,120,76,102,180,90,102,124,102,90,154,90,164,38,60,3448,180
460,196,82,16,158,72,58,46,58,188,82,46,182,20,90,106,74,16,76,160,90,46,188,138,82,106,196,74,138,72,182,82,158,76,160,46,20,3580,196
461,208,38,24,136,24,34,42,34,202,86,90,170,38,170,120,72,8,120,146,40,86,208,146,36,68,202,90,166,36,136,40,166,68,72,42,8,3372,208
462,204,8,18,118,38,18,100,28,198,84,100,176,28,134,134,38,36,116,116,38,118,204,176,66,74,198,84,176,74,36,42,176,42,38,8,66,3308,204
463,180,18,14,84,14,8,84,84,166,80,108,200,24,102,144,8,50,166,76,82,76,186,144,50,84,200,108,186,102,24,80,180,2,18,2,82,3216,200
464,174,46,2,46,20,12,52,112,130,82,122,212,20,112,144,12,52,174,20,70,118,212,144,50,92,182,122,182,118,70,82,130,20,50,2,92,3280,212
465,150,38,30,38,38,18,38,156,68,82,128,206,18,104,142,2,52,156,30,150,94,206,142,62,128,176,68,176,142,94,52,142,82,62,2,104,3376,206
466,124,36,36,4,22,18,4,180,36,96,152,194,4,152,134,18,52,134,78,114,110,194,148,52,4,180,96,168,148,110,36,168,124,78,22,114,3340,194
467,100,100,34,20,20,26,28,196,4,112,154,170,4,112,122,26,44,82,112,122,124,196,154,30,30,170,44,154,160,124,34,160,154,82,28,112,3344,196
468,74,42,42,46,8,34,42,190,74,108,158,140,36,36,114,8,36,34,114,148,158,190,140,108,46,132,74,148,168,132,36,168,116,74,42,116,3332,190
469,66,72,40,84,10,54,72,164,54,124,174,114,10,40,110,66,22,24,116,114,174,176,138,24,72,134,72,134,176,138,22,164,110,84,124,116,3388,176
470,34,76,42,104,34,54,104,134,128,128,198,76,4,12,84,84,4,42,118,134,162,198,102,54,102,12,42,128,162,146,42,146,98,98,128,118,3332,198
471,24,142,38,94,50,50,142,104,64,142,200,52,2,2,72,72,24,64,104,122,142,200,170,46,122,46,38,124,170,146,52,146,116,94,124,116,3416,200
472,10,118,46,164,46,56,166,60,84,164,202,50,10,10,48,92,56,84,176,138,140,202,120,48,140,90,10,118,176,138,50,166,90,92,60,120,3540,202
473,12,54,60,110,42,70,184,12,156,174,194,42,10,44,10,96,70,110,124,114,150,194,174,44,150,114,54,110,156,124,60,184,118,96,110,118,3644,194
474,4,142,78,90,66,66,202,18,100,174,160,34,18,54,4,92,54,130,174,132,164,202,130,78,164,132,90,100,142,100,34,160,114,92,100,114,3708,202
475,6,128,134,134,28,76,180,76,76,178,136,22,28,62,22,114,62,138,136,178,180,144,138,68,170,144,114,88,128,68,6,170,106,76,88,106,3708,180
476,36,106,148,148,22,92,160,92,90,190,114,22,34,68,34,190,68,140,134,162,160,18,114,56,162,160,134,72,106,36,18,160,140,56,72,90,3604,190
477,44,32,166,134,60,82,126,66,90,206,90,28,28,64,82,64,70,134,166,150,206,50,126,50,152,168,150,44,60,18,32,168,152,70,18,66,3412,206
478,50,54,198,152,28,124,82,56,82,214,50,8,46,56,46,214,124,142,142,160,198,104,48,56,152,160,166,54,28,16,56,166,104,16,8,48,3408,214
479,40,4,214,146,18,146,30,78,78,204,28,14,78,40,48,214,134,134,136,138,204,136,38,38,134,138,184,48,4,30,78,184,134,28,18,14,3332,214
480,90,40,210,90,18,152,2,86,118,180,18,2,86,16,16,210,110,110,152,152,180,152,90,2,90,118,184,26,26,34,100,184,100,40,34,2,3220,210
481,68,88,184,116,4,178,20,88,106,146,14,14,106,4,20,184,100,100,178,146,164,164,116,40,68,76,168,30,30,40,116,168,116,76,34,34,3304,184
482,26,120,142,120,26,202,48,78,120,114,12,12,120,14,42,202,114,66,134,134,168,168,134,78,56,48,156,14,56,40,134,142,156,66,40,42,3344,202
483,14,152,100,110,42,214,42,104,100,104,14,4,124,26,58,214,124,48,138,146,162,162,144,110,50,26,138,4,36,50,146,144,152,58,36,48,3344,214
484,10,172,58,126,56,210,34,82,134,78,28,6,126,36,82,210,148,34,56,150,172,148,152,124,36,10,134,6,58,26,150,152,124,28,26,78,3260,210
485,38,180,48,124,88,186,24,88,102,74,28,2,124,48,102,186,138,6,24,154,180,130,154,138,18,28,98,18,98,38,154,154,130,6,2,74,3184,186
486,54,178,20,102,102,148,50,110,142,50,2,4,110,50,98,90,98,12,50,148,178,88,142,138,4,54,90,12,20,2,164,164,138,90,90,88,3080,178
487,78,160,36,84,140,112,36,106,112,64,32,26,108,78,106,140,160,64,84,72,154,78,140,154,8,84,84,8,32,26,158,158,140,72,108,78,3280,160
488,98,132,22,88,172,74,80,106,114,66,28,22,106,74,114,120,172,98,112,8,146,64,120,162,8,66,80,22,28,22,146,112,132,88,162,64,3228,172
489,134,86,12,58,198,54,54,112,126,58,22,20,104,48,116,116,160,104,128,48,134,28,86,160,12,86,58,20,22,28,126,58,128,112,198,86,3100,198
490,172,48,4,18,206,40,78,120,132,46,16,12,102,48,120,102,172,120,132,74,40,12,78,142,46,106,40,16,40,18,106,4,142,120,206,74,2952,206
491,204,6,34,64,186,24,94,124,124,34,2,2,94,54,124,64,186,130,144,100,26,22,54,130,26,100,28,24,28,6,94,22,144,124,204,94,2920,204
492,214,76,34,90,168,8,90,124,126,44,8,2,90,44,126,42,168,154,154,130,54,54,16,112,34,112,34,16,2,42,76,34,130,124,214,90,3036,214
493,204,92,62,136,132,2,48,120,136,34,12,14,82,34,120,18,168,150,168,150,82,82,14,92,68,126,12,2,18,68,62,48,132,126,204,82,3100,204
494,182,102,60,180,94,16,74,118,114,22,22,44,74,38,118,16,180,168,154,168,114,94,62,62,44,120,14,14,38,102,60,54,154,120,182,54,3232,182
495,118,126,74,218,46,58,94,118,134,26,38,92,38,8,116,52,134,54,126,168,134,92,52,58,46,116,8,26,74,134,116,54,168,94,218,116,3344,218
496,82,120,62,224,8,30,78,110,142,4,18,142,30,18,110,78,174,160,120,174,160,158,78,4,106,82,8,106,104,158,62,58,104,78,224,58,3432,224
497,26,146,54,190,20,26,94,154,52,12,12,206,20,40,94,94,190,176,100,146,176,170,94,4,50,120,4,154,120,170,52,50,40,54,206,100,3416,206
498,12,148,46,150,68,48,96,138,46,8,12,228,2,50,96,106,176,176,68,138,176,150,106,24,50,152,8,152,148,176,48,46,2,24,228,46,3348,228
499,28,158,70,92,74,32,122,96,96,4,46,234,10,66,74,124,166,180,38,122,152,152,92,38,46,124,4,158,180,166,70,32,28,10,234,66,3384,234
500,30,146,98,26,62,26,90,130,150,14,82,234,14,62,68,130,170,150,30,98,126,172,82,30,68,126,30,172,170,146,90,30,62,30,234,62,3440,234
501,28,126,58,30,66,6,74,114,188,30,114,218,6,66,62,126,160,218,22,90,104,180,126,22,62,100,58,180,160,126,100,28,74,90,188,104,3504,218
502,28,202,64,68,84,10,82,96,204,32,164,202,14,68,64,124,146,164,10,84,80,180,124,14,32,80,80,180,146,96,106,28,82,106,204,80,3528,204
503,62,208,36,90,58,2,96,20,206,34,184,208,36,58,36,118,134,184,2,62,40,172,118,36,34,40,96,172,134,68,118,20,90,118,206,68,3364,208
