Interval,Processor0,Processor1,Processor2,Processor3,Processor4,Processor5,Processor6,Processor7,Processor8,Processor9,Processor10,Processor11,Processor12,Processor13,Processor14,Processor15,Processor16,Processor17,Processor18,Processor19,Processor20,Processor21,Processor22,Processor23,Processor24,Processor25,Processor26,Processor27,Processor28,Processor29,Processor30,Processor31,Processor32,Processor33,Processor34,Processor35,Total,Max
294,14,144,86,138,160,12,14,194,106,200,194,160,150,44,6,44,48,150,194,48,12,194,110,86,112,138,144,56,106,112,110,6,92,92,200,56,3732,200
295,18,152,92,130,52,18,52,180,92,210,192,156,152,32,32,156,58,140,140,58,40,180,82,106,140,140,130,40,106,192,102,6,82,102,210,6,3776,210
296,38,158,60,134,74,50,100,158,80,212,184,142,156,4,80,184,60,106,156,142,50,166,14,120,166,134,106,38,88,100,88,4,74,120,212,14,3772,212
297,122,152,68,176,166,96,152,140,52,208,166,122,146,4,16,140,48,52,112,90,48,64,4,138,176,112,68,8,96,146,64,8,90,138,208,16,3612,208
298,56,182,48,178,118,152,206,128,16,178,172,118,138,20,48,128,56,38,152,172,56,46,56,162,182,92,46,16,92,162,48,20,38,138,206,48,3712,206
299,50,186,4,168,48,186,226,114,4,178,170,102,130,30,114,64,48,2,178,170,102,10,94,178,168,50,2,14,94,178,10,30,14,130,226,64,3536,226
300,50,176,50,146,34,218,202,96,8,176,156,74,124,74,156,96,20,24,202,84,48,34,130,176,146,20,8,2,124,130,24,48,2,176,218,84,3536,218
301,72,166,104,148,14,220,180,78,4,168,142,56,112,44,112,56,10,54,180,168,54,72,148,166,104,142,14,4,104,104,78,44,10,104,220,104,3560,220
302,132,154,142,150,50,210,162,60,2,158,132,44,106,54,88,10,44,88,142,106,2,110,150,154,54,158,38,10,110,162,50,38,60,116,210,116,3572,210
303,136,134,184,146,94,176,148,66,18,136,122,32,94,42,100,30,30,100,176,122,18,130,146,136,12,94,66,32,148,136,94,42,12,130,184,134,3600,184
304,116,134,198,134,134,172,116,54,26,138,116,26,96,96,138,42,54,110,136,54,54,138,134,112,26,138,42,12,110,172,116,26,12,112,198,136,3628,198
305,60,96,200,158,158,164,96,42,42,126,112,6,80,76,78,60,126,110,118,6,78,140,118,76,80,140,40,10,110,138,112,10,40,164,200,138,3508,200
306,90,8,178,112,192,162,60,32,32,118,96,38,70,38,60,58,100,90,96,8,112,128,84,34,118,178,58,34,162,146,84,70,100,128,192,146,3412,192
307,120,60,162,74,198,144,48,4,22,120,86,4,72,144,72,74,102,102,60,74,126,122,60,22,60,162,86,48,122,140,84,74,84,126,198,140,3396,198
308,130,108,140,14,192,130,38,14,16,102,76,16,48,104,76,84,106,88,38,106,140,108,16,16,88,140,102,48,108,108,84,140,104,124,192,124,3268,192
309,80,142,124,42,172,136,2,2,38,100,64,32,38,124,64,94,94,80,32,138,142,82,42,32,82,172,100,32,108,142,136,142,122,138,122,108,3300,172
310,98,170,98,90,168,130,8,8,26,94,52,42,26,90,40,98,98,68,94,154,146,40,130,42,88,168,68,52,128,146,94,170,128,154,94,88,3388,170
311,50,186,54,138,156,124,40,4,4,108,40,60,20,126,20,104,108,50,126,160,142,8,132,54,104,138,70,60,156,160,124,186,132,142,8,70,3364,186
312,8,190,48,168,144,122,48,20,20,100,50,96,8,112,6,112,100,44,152,156,132,44,132,48,144,168,96,50,138,156,122,190,138,152,6,48,3468,190
313,70,180,2,190,140,100,90,32,96,90,32,90,18,70,18,112,100,8,168,148,122,112,148,32,140,180,90,8,130,168,96,190,130,122,32,2,3456,190
314,118,158,4,194,130,46,106,34,120,48,34,106,48,120,56,110,40,46,180,138,92,158,138,56,92,180,54,54,110,118,130,194,124,124,40,4,3504,194
315,168,126,26,182,78,26,78,38,158,38,56,106,28,44,80,96,56,42,176,116,42,182,112,106,104,176,80,112,126,158,96,168,104,116,44,28,3472,182
316,206,94,6,158,56,38,50,4,198,88,90,160,56,82,98,64,4,64,164,82,38,206,158,90,160,146,94,146,88,164,98,198,84,84,50,6,3572,206
317,220,78,34,136,52,34,78,2,210,90,122,172,52,122,112,48,2,112,150,38,48,220,150,42,136,172,90,172,6,172,72,210,72,38,42,6,3512,220
318,212,2,30,120,46,30,70,70,206,90,122,176,46,120,130,2,46,130,110,26,122,212,176,42,110,182,90,182,74,46,74,206,42,16,26,16,3400,212
319,188,22,14,94,20,22,54,96,176,88,136,194,28,68,138,20,54,138,68,94,136,192,194,56,102,176,88,192,102,14,96,188,2,28,2,56,3336,194
320,180,16,6,48,24,22,56,116,138,80,148,216,48,60,126,24,56,126,16,116,66,216,138,80,126,180,72,186,126,66,148,186,22,60,6,72,3372,216
321,154,30,16,48,40,30,56,160,86,82,142,210,16,142,136,8,56,136,40,90,154,210,142,82,72,160,82,182,142,90,86,182,48,72,8,82,3472,210
322,140,34,16,26,30,34,30,182,50,96,160,198,16,50,126,26,50,106,160,126,88,198,166,50,2,154,96,166,154,106,98,182,140,88,2,98,3444,198
323,130,42,24,4,12,34,4,202,34,100,162,174,12,30,118,34,42,130,118,116,162,202,158,34,30,162,100,158,162,116,100,174,92,92,24,100,3388,202
324,90,28,18,90,4,28,34,202,18,110,166,144,24,4,100,24,24,34,146,166,122,202,144,50,50,128,110,146,170,128,100,170,100,100,24,122,3320,202
325,102,102,20,22,20,38,68,192,8,108,182,116,8,20,90,108,20,22,132,116,118,192,182,38,78,136,90,136,176,132,78,176,102,102,68,118,3416,192
326,92,120,24,92,36,36,98,164,24,120,208,76,4,2,76,122,2,38,138,108,118,208,164,38,108,4,76,122,164,138,98,164,102,102,76,118,3380,208
327,72,60,10,46,72,44,142,122,50,132,210,52,10,16,50,132,16,60,124,170,102,210,142,52,124,46,44,118,170,148,106,148,122,102,118,106,3448,210
328,62,112,4,76,62,30,172,78,54,142,208,54,30,30,38,76,30,76,138,122,102,208,130,38,138,76,4,112,176,130,142,172,176,102,78,122,3500,208
329,14,50,24,148,42,60,190,60,60,158,200,42,24,46,14,104,46,98,152,116,158,200,110,60,152,110,50,104,148,104,98,190,108,108,104,116,3568,200
330,16,82,68,80,44,66,208,44,60,166,170,28,16,60,28,104,96,128,164,166,106,208,130,66,164,130,80,96,142,82,142,170,128,104,68,106,3716,208
331,4,68,88,88,34,68,192,34,88,172,138,30,4,68,54,136,130,136,168,138,102,150,172,86,168,150,114,86,130,54,30,192,114,88,68,102,3644,192
332,10,66,120,120,24,78,162,4,74,196,110,10,24,66,102,134,80,140,164,154,110,78,162,82,154,164,134,82,102,26,4,196,140,74,26,80,3452,196
333,20,42,160,80,46,84,124,32,82,212,80,20,20,66,84,122,58,122,172,150,140,32,160,66,140,172,150,46,42,14,14,212,124,82,20,58,3248,212
334,30,26,200,124,50,108,74,38,108,220,60,8,26,64,44,140,74,140,200,166,100,100,64,60,124,158,166,50,30,36,44,220,158,38,8,36,3292,220
335,36,4,216,124,18,122,30,30,62,212,36,16,54,52,62,140,122,130,216,180,130,132,18,54,124,140,180,62,8,52,62,212,132,4,16,8,3196,216
336,28,46,208,104,4,146,36,86,70,186,20,2,72,28,46,150,84,104,186,178,130,150,70,2,86,130,178,36,28,72,84,208,146,4,28,20,3156,208
337,20,92,178,96,4,180,38,82,92,140,16,16,96,20,4,164,106,80,180,160,108,164,108,40,58,82,160,36,58,80,106,178,140,36,38,40,3196,180
338,8,126,138,106,2,200,34,56,92,92,2,22,106,8,34,138,126,56,170,132,142,170,132,80,38,62,142,22,42,80,126,200,126,38,42,62,3152,200
339,4,156,86,86,50,210,38,50,90,90,4,18,120,12,50,166,120,44,134,142,114,166,142,114,26,18,116,12,50,116,134,210,156,26,38,44,3152,210
340,56,180,50,116,62,206,62,56,70,72,18,12,116,18,70,180,146,8,50,150,142,146,150,126,12,8,108,4,72,108,142,206,126,4,32,32,3116,206
341,64,184,36,114,82,188,66,64,82,66,24,4,114,28,80,184,138,12,12,154,134,134,154,138,4,24,92,8,92,80,148,188,148,28,8,36,3112,188
342,72,180,6,78,94,146,100,48,132,34,14,4,106,28,78,94,106,14,48,148,146,100,132,148,4,34,72,28,6,72,156,180,156,82,72,82,3000,180
343,88,158,16,88,136,102,82,46,76,46,32,24,108,32,90,146,158,76,76,90,136,82,140,162,4,24,72,4,16,108,146,162,140,76,102,72,3116,162
344,104,130,4,62,168,68,92,66,104,42,36,14,108,36,96,122,168,96,108,14,108,62,122,156,14,42,66,4,14,108,134,156,130,92,134,68,3048,168
345,146,84,16,10,192,52,92,48,84,28,24,16,106,58,104,116,156,110,116,48,110,48,92,156,24,48,58,10,28,106,110,104,146,110,192,52,3000,192
346,174,48,34,34,198,46,98,48,74,26,18,8,98,46,104,116,174,128,128,74,26,2,74,144,44,96,44,2,18,104,96,8,144,116,198,74,2864,198
347,198,18,20,66,184,14,120,84,96,8,4,8,92,52,108,66,184,134,144,96,30,40,52,134,18,108,40,4,14,30,84,20,144,120,198,92,2824,198
348,204,32,72,92,166,2,110,92,114,6,2,6,86,36,110,24,166,154,154,130,58,86,32,114,30,124,36,12,24,12,72,30,130,124,204,58,2904,204
349,198,78,70,144,118,30,112,106,84,6,14,16,78,16,112,6,162,152,162,152,84,122,6,106,46,118,6,14,30,46,70,44,144,122,198,44,3016,198
350,178,88,50,180,88,40,110,72,92,6,20,44,72,24,110,20,180,168,152,168,112,112,60,100,44,118,6,24,60,92,40,50,152,118,178,100,3228,180
351,124,120,94,210,46,46,116,116,88,44,36,88,36,4,116,58,104,120,120,168,130,130,58,88,88,124,4,44,94,120,116,56,168,104,210,56,3444,210
352,90,90,98,220,12,72,110,100,86,22,22,148,22,22,100,84,172,160,110,172,160,148,84,72,60,148,12,98,100,148,60,58,100,86,220,58,3524,220
