Interval,Processor0,Processor1,Processor2,Processor3,Processor4,Processor5,Processor6,Processor7,Processor8,Processor9,Processor10,Processor11,Processor12,Processor13,Processor14,Processor15,Processor16,Processor17,Processor18,Processor19,Processor20,Processor21,Processor22,Processor23,Processor24,Processor25,Processor26,Processor27,Processor28,Processor29,Processor30,Processor31,Processor32,Processor33,Processor34,Processor35,Processor36,Processor37,Processor38,Processor39,Processor40,Processor41,Processor42,Processor43,Processor44,Processor45,Processor46,Processor47,Processor48,Processor49,Processor50,Processor51,Processor52,Processor53,Processor54,Processor55,Processor56,Processor57,Processor58,Processor59,Processor60,Processor61,Processor62,Processor63,Processor64,Processor65,Processor66,Processor67,Processor68,Processor69,Processor70,Processor71,Processor72,Processor73,Processor74,Processor75,Processor76,Processor77,Processor78,Processor79,Processor80,Processor81,Processor82,Processor83,Processor84,Processor85,Processor86,Processor87,Processor88,Processor89,Processor90,Processor91,Processor92,Processor93,Processor94,Processor95,Processor96,Processor97,Processor98,Processor99,Processor100,Processor101,Processor102,Processor103,Processor104,Processor105,Processor106,Processor107,Processor108,Processor109,Processor110,Processor111,Processor112,Processor113,Processor114,Processor115,Processor116,Processor117,Processor118,Processor119,Processor120,Processor121,Processor122,Processor123,Processor124,Processor125,Processor126,Processor127,Processor128,Processor129,Processor130,Processor131,Processor132,Processor133,Processor134,Processor135,Processor136,Processor137,Processor138,Processor139,Processor140,Processor141,Processor142,Processor143,Total,Max
0,0,0,0,0,0,0,34,0,0,0,0,0,0,42,0,0,0,38,0,0,0,0,0,0,50,0,0,0,0,0,34,38,0,0,50,42,2,0,0,46,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,46,0,0,2,0,34,0,0,0,8,6,0,0,8,0,6,18,0,0,0,0,0,0,0,0,0,0,18,0,0,0,34,0,0,6,6,0,0,0,0,0,0,0,60,14,70,0,0,0,0,0,0,0,0,26,38,0,48,0,0,0,0,26,0,0,0,60,70,0,14,0,0,0,0,48,0,38,1088,70
1,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,26,0,0,44,0,0,0,0,0,0,0,0,44,48,0,0,0,0,0,0,48,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,34,0,0,0,0,0,54,34,0,0,0,32,0,28,0,6,0,0,0,0,0,6,0,56,0,22,0,0,0,0,0,50,28,28,28,0,32,0,22,0,0,0,50,0,0,0,56,0,70,0,0,0,24,10,10,0,10,0,0,0,0,30,0,0,0,0,64,0,0,0,0,0,0,64,10,0,70,0,24,0,0,0,30,1304,70
2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12,32,10,50,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,10,0,50,0,0,0,0,0,0,0,0,0,60,0,0,0,48,0,0,0,36,0,0,0,0,0,36,0,0,60,0,0,0,0,48,0,48,0,48,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,64,0,0,70,0,60,70,0,0,0,0,0,0,0,64,0,0,0,0,0,1000,70
3,6,30,0,0,0,0,0,30,0,2,0,4,0,0,0,30,0,0,0,0,0,52,2,0,0,4,0,0,0,6,0,0,0,30,52,0,0,50,60,0,0,0,54,0,0,0,0,0,0,0,0,38,0,0,0,10,0,10,50,0,38,0,0,54,0,32,32,60,0,0,0,0,26,30,0,0,30,0,14,32,58,0,6,0,68,0,26,0,0,0,6,0,0,0,0,32,0,0,14,0,0,0,0,68,0,58,0,0,70,0,20,8,0,18,18,0,0,8,20,0,0,0,0,0,64,0,26,58,12,58,70,0,0,0,0,0,0,0,64,26,12,0,0,0,1756,70
4,0,0,0,4,0,0,0,0,0,0,0,4,24,34,0,34,0,24,0,0,0,0,0,0,46,0,0,0,0,24,0,24,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,44,46,0,0,0,36,0,0,0,0,0,60,0,44,0,0,0,0,0,0,46,0,60,0,36,0,0,22,0,0,0,0,0,54,48,0,0,66,0,22,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,54,0,48,66,0,0,72,0,18,12,22,16,26,0,0,0,18,0,0,12,26,0,56,0,22,0,4,0,0,0,4,0,72,0,0,0,56,22,0,0,16,22,1524,72
5,0,0,0,0,0,0,16,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,54,40,0,0,42,0,0,0,0,0,54,42,40,0,0,0,36,36,0,0,0,0,0,48,0,0,0,0,0,44,0,0,0,0,18,6,0,52,0,0,0,0,6,18,48,10,0,44,0,0,0,0,0,48,0,52,0,0,0,10,62,0,0,0,0,12,0,20,0,4,0,0,0,20,0,36,0,0,0,0,0,0,0,52,4,0,0,0,0,62,52,0,12,0,0,36,1204,62
6,0,0,0,4,0,0,0,34,0,0,0,0,0,0,16,0,0,0,0,16,50,0,0,0,52,34,50,0,0,52,0,0,4,0,0,0,26,0,0,0,0,56,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,56,36,0,0,26,0,36,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,8,0,48,0,8,0,0,0,0,52,2,0,52,0,0,0,0,0,0,0,0,0,48,0,2,0,0,0,0,0,0,0,0,34,6,12,0,0,30,0,34,32,0,0,0,6,0,32,58,0,0,0,12,0,0,58,30,0,0,0,0,1188,58
7,14,30,0,0,0,0,0,0,0,2,0,2,0,0,14,0,0,0,0,0,0,48,0,0,0,48,0,0,0,0,30,0,0,0,0,0,0,58,0,0,0,58,0,0,62,0,0,0,0,0,0,0,52,0,0,0,0,0,0,58,0,62,0,0,58,0,0,52,0,0,0,0,0,10,0,0,30,0,0,0,54,48,0,10,0,54,0,0,58,0,0,0,0,0,0,58,0,0,54,0,48,0,54,0,0,30,0,0,0,2,2,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,16,36,0,66,0,0,0,0,0,0,16,0,0,36,0,0,0,0,1396,66
8,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,10,0,0,4,42,0,0,42,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,52,0,16,0,0,18,16,0,0,18,0,0,0,0,0,44,52,0,0,0,46,0,44,0,0,0,8,0,36,0,0,0,0,0,28,8,0,56,0,0,0,20,0,0,24,24,0,0,0,0,0,0,56,0,36,0,0,20,28,0,0,0,0,0,0,0,0,0,0,0,32,32,0,0,24,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,988,56
9,0,0,0,0,0,0,50,0,0,0,50,12,0,0,6,0,0,0,0,0,0,56,0,0,0,0,0,6,0,50,12,0,56,50,0,0,0,52,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,44,0,44,52,0,0,0,2,58,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,48,50,0,0,0,0,0,0,0,0,0,0,10,0,48,0,0,0,0,0,0,0,24,10,50,0,0,24,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1060,58
10,0,0,0,0,0,0,24,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,26,0,0,46,0,26,0,0,0,0,62,52,0,24,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,46,0,24,62,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,52,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,26,8,0,0,0,0,0,8,20,0,0,0,0,0,0,0,0,0,0,0,0,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,30,0,848,62
11,20,0,0,10,0,0,0,0,0,0,54,0,0,0,10,0,0,0,0,0,0,50,0,0,50,54,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,28,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,42,48,0,0,42,0,0,16,0,0,0,0,0,0,0,28,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,32,0,0,0,0,0,0,0,24,0,0,0,0,0,30,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,24,0,32,0,30,824,54
12,0,38,18,0,50,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,38,18,0,56,0,0,0,0,54,0,30,46,0,0,32,0,0,0,0,42,0,30,54,0,0,0,56,0,56,0,46,0,0,0,32,42,0,56,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,14,0,0,0,14,0,0,0,0,0,0,0,0,36,2,0,0,0,0,2,0,0,0,0,36,0,0,2,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1040,56
13,0,0,0,0,0,52,0,0,0,0,58,0,0,44,0,0,0,0,0,0,56,0,0,52,0,44,0,0,56,0,0,0,58,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,4,0,40,0,26,40,0,0,0,0,0,0,0,38,0,0,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,8,0,0,8,0,0,38,0,0,2,0,0,0,0,2,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,58
14,0,0,22,0,0,0,48,0,0,0,48,0,0,0,20,0,0,54,0,54,0,20,0,48,0,0,0,0,48,16,16,0,0,22,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,64,0,0,12,0,0,0,2,30,0,54,0,0,0,2,0,0,0,54,0,0,0,0,0,30,0,4,12,12,4,0,12,8,0,0,8,0,0,0,0,32,0,6,0,0,0,0,0,0,0,32,0,0,12,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,968,64
15,0,0,0,0,0,0,0,0,0,8,0,0,0,44,36,56,0,56,0,0,0,0,0,0,0,0,8,16,44,0,0,36,0,16,0,0,0,40,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,6,0,16,16,0,0,0,0,0,0,0,0,14,28,0,0,0,6,0,0,0,0,0,14,0,0,30,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,28,0,30,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,764,56
16,0,0,0,0,0,0,0,0,0,10,0,0,0,50,48,0,40,0,0,50,48,0,0,0,0,28,4,0,40,0,28,0,0,10,0,4,0,36,0,0,0,48,40,14,0,0,0,0,0,20,0,0,0,0,40,36,0,48,0,0,0,0,0,8,14,20,0,0,0,8,0,0,0,22,0,50,0,0,2,22,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,30,54,1064,54
17,0,46,0,0,48,40,22,48,0,8,0,48,34,22,0,0,0,8,0,0,0,40,0,0,34,0,2,0,0,0,0,48,46,0,0,2,48,32,0,0,0,46,0,14,0,0,0,0,0,16,16,0,0,0,48,32,0,46,0,38,52,0,0,0,0,0,0,0,52,14,0,38,0,0,12,30,46,0,4,0,0,8,36,0,0,46,0,0,0,0,30,12,0,0,0,0,0,0,0,4,36,0,8,0,0,0,0,0,28,0,28,0,0,14,0,0,46,0,0,0,28,0,0,0,0,0,30,0,0,0,0,14,0,0,0,0,0,0,0,46,28,30,0,0,1552,52
18,0,0,0,0,48,0,0,0,54,0,0,0,40,0,0,54,0,0,48,40,0,50,0,32,0,0,14,0,0,14,0,50,0,0,32,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,8,0,0,0,0,0,8,0,0,0,0,0,36,0,0,0,0,0,0,0,10,0,10,0,0,0,36,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,776,54
19,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,42,42,0,0,0,0,0,0,0,0,2,0,0,0,0,42,0,0,0,2,0,0,4,4,42,0,0,0,30,0,0,0,0,0,0,0,0,30,0,0,24,42,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,12,0,0,14,22,0,0,0,0,0,48,0,0,14,0,0,12,0,0,0,14,16,0,0,0,16,0,48,0,22,0,0,14,0,0,34,0,0,0,0,0,0,50,0,0,0,0,0,0,34,0,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,844,50
20,30,36,0,0,0,0,0,0,54,0,0,0,40,0,0,54,0,0,0,36,0,0,40,30,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,22,0,0,32,0,0,0,0,22,0,0,0,0,0,18,0,0,0,0,0,58,0,58,0,0,0,0,32,18,0,0,0,0,0,0,0,0,54,0,50,0,0,0,0,22,0,0,0,0,0,0,22,0,0,0,0,0,0,54,50,0,0,0,0,0,0,24,0,30,44,0,0,0,30,0,0,0,0,0,24,0,0,0,0,20,30,0,0,0,0,20,0,0,24,0,0,0,0,24,0,30,44,1180,58
21,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,38,0,0,0,0,0,38,0,0,14,0,0,0,0,0,0,32,14,32,0,0,12,0,0,0,0,20,24,0,0,0,0,0,0,24,0,0,26,0,12,0,0,0,0,32,64,0,0,64,26,0,0,20,32,0,0,0,4,0,0,0,44,0,62,0,56,0,0,0,0,0,0,22,0,4,12,0,22,0,12,0,62,44,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,26,0,0,0,0,1052,64
22,0,0,0,0,48,0,0,0,0,0,48,34,34,0,58,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,58,0,0,0,0,38,0,18,18,0,0,0,0,0,0,0,30,0,2,0,0,0,0,38,0,0,46,0,2,0,0,0,46,0,0,0,0,0,0,30,0,0,0,18,0,0,0,52,0,0,0,0,0,60,0,0,0,0,0,0,18,60,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,18,0,52,0,0,0,0,40,0,20,20,52,0,0,0,40,0,0,0,26,0,0,0,18,26,0,0,0,0,0,0,0,1172,60
23,0,0,0,0,0,0,0,8,56,0,0,30,0,0,56,0,0,0,0,0,0,0,32,0,30,0,8,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,12,0,0,0,0,0,24,0,0,52,0,0,0,0,54,52,54,0,0,24,0,12,28,0,0,0,40,48,0,0,0,0,54,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,40,0,54,48,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,18,0,0,0,0,30,0,46,0,0,0,0,0,0,46,0,0,0,30,0,0,0,0,0,1080,56
24,0,0,0,0,0,0,0,0,26,0,42,0,0,0,0,0,0,0,0,26,0,0,0,20,42,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,50,26,0,0,0,0,26,0,0,0,0,50,0,0,0,0,0,34,0,14,46,0,0,0,0,0,0,0,0,0,2,30,0,0,12,0,30,0,14,0,0,0,2,0,0,46,0,0,0,0,0,12,0,0,0,0,0,0,32,0,18,56,0,0,10,0,0,0,0,8,56,8,0,0,0,0,0,0,0,0,0,0,18,0,0,32,0,0,0,0,10,852,56
25,22,0,0,0,0,0,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,34,0,0,0,0,0,0,0,12,0,12,54,30,0,12,0,0,0,0,0,0,54,0,0,12,0,0,0,34,0,0,52,52,0,0,0,50,12,66,24,0,0,0,0,0,12,0,0,0,0,66,52,0,0,52,50,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,52,0,6,6,0,40,0,0,0,52,0,0,0,0,0,0,0,40,0,0,52,20,0,0,0,0,0,0,52,0,1192,66
26,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,10,0,0,0,0,0,0,0,0,0,40,0,0,0,34,10,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,34,0,0,54,0,0,56,0,32,0,56,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,56,56,0,0,0,0,0,0,0,0,0,32,0,0,0,24,0,18,52,0,0,0,30,0,18,0,0,0,0,0,46,52,0,0,0,46,0,0,0,0,0,0,30,0,0,24,0,0,996,56
27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,24,20,0,0,0,2,0,0,0,0,0,24,28,0,0,20,0,0,0,4,10,0,0,30,0,0,20,0,0,0,4,0,10,0,0,20,0,0,0,0,0,0,0,52,32,0,32,0,0,0,52,0,30,0,48,0,0,0,64,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,48,0,0,0,68,48,0,0,0,0,0,0,30,0,0,0,0,0,960,68
28,0,0,0,0,0,0,18,0,0,0,18,0,0,0,0,0,0,24,0,0,0,0,0,0,46,0,46,0,0,0,0,0,0,24,0,0,0,4,0,52,0,0,0,0,0,0,0,0,0,4,0,0,0,52,0,0,0,52,0,0,28,0,0,28,0,0,0,0,52,0,0,0,56,70,48,10,66,22,0,0,0,0,0,0,56,48,0,0,0,0,0,10,70,0,22,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,36,0,48,0,76,0,0,0,0,34,0,0,0,0,36,0,0,0,0,0,0,76,0,0,0,0,0,0,0,48,34,0,1380,76
