Interval,Processor0,Processor1,Processor2,Processor3,Processor4,Processor5,Processor6,Processor7,Processor8,Processor9,Processor10,Processor11,Processor12,Processor13,Processor14,Processor15,Processor16,Processor17,Processor18,Processor19,Processor20,Processor21,Processor22,Processor23,Processor24,Processor25,Processor26,Processor27,Processor28,Processor29,Processor30,Processor31,Processor32,Processor33,Processor34,Processor35,Processor36,Processor37,Processor38,Processor39,Processor40,Processor41,Processor42,Processor43,Processor44,Processor45,Processor46,Processor47,Processor48,Processor49,Processor50,Processor51,Processor52,Processor53,Processor54,Processor55,Processor56,Processor57,Processor58,Processor59,Processor60,Processor61,Processor62,Processor63,Processor64,Processor65,Processor66,Processor67,Processor68,Processor69,Processor70,Processor71,Processor72,Processor73,Processor74,Processor75,Processor76,Processor77,Processor78,Processor79,Processor80,Processor81,Processor82,Processor83,Processor84,Processor85,Processor86,Processor87,Processor88,Processor89,Processor90,Processor91,Processor92,Processor93,Processor94,Processor95,Processor96,Processor97,Processor98,Processor99,Processor100,Processor101,Processor102,Processor103,Processor104,Processor105,Processor106,Processor107,Processor108,Processor109,Processor110,Processor111,Processor112,Processor113,Processor114,Processor115,Processor116,Processor117,Processor118,Processor119,Processor120,Processor121,Processor122,Processor123,Processor124,Processor125,Processor126,Processor127,Processor128,Processor129,Processor130,Processor131,Processor132,Processor133,Processor134,Processor135,Processor136,Processor137,Processor138,Processor139,Processor140,Processor141,Processor142,Processor143,Total,Max
0,20,42,36,4,34,58,0,40,34,30,52,6,28,0,4,28,28,0,50,24,50,54,6,20,0,22,10,52,40,48,0,0,10,36,0,0,0,4,66,0,28,38,50,50,0,54,44,40,0,52,28,34,8,36,18,24,20,10,16,0,0,16,30,2,22,18,6,0,40,36,0,14,0,38,30,30,0,0,20,10,0,50,0,0,44,46,18,16,38,28,4,8,38,18,0,28,40,32,0,16,36,0,0,42,24,36,40,64,48,58,0,0,0,40,2,8,14,8,28,10,32,0,0,50,0,34,38,46,38,0,66,24,6,0,0,10,0,64,52,38,40,0,38,0,3256,66
1,16,16,14,4,42,36,28,50,0,6,44,2,16,18,12,0,8,44,0,24,36,52,2,20,56,12,32,0,0,36,48,38,2,8,66,0,2,22,60,54,24,46,0,56,2,64,50,44,16,52,36,40,14,36,18,16,0,0,40,38,2,0,60,32,18,20,44,0,0,44,6,56,0,42,0,14,0,2,18,12,48,50,0,6,0,56,0,2,46,42,2,12,0,0,0,0,54,0,26,0,22,4,16,0,36,44,56,0,56,0,40,8,60,0,0,0,8,0,18,36,42,2,0,50,56,26,36,0,28,56,66,18,12,64,0,0,6,0,60,0,12,40,14,0,3224,66
2,16,30,0,2,46,50,42,56,30,2,58,4,30,30,0,0,0,0,42,32,26,58,2,0,60,8,46,42,32,36,60,32,2,0,58,0,10,36,58,56,24,60,54,58,12,0,50,46,26,0,32,38,22,0,16,14,16,10,60,0,12,42,0,48,12,28,26,0,22,0,12,0,30,36,26,4,12,0,18,12,46,36,2,2,58,46,20,2,36,22,0,10,54,10,18,30,44,28,24,30,22,14,30,60,40,48,70,42,0,60,26,0,46,20,14,18,4,8,16,32,42,0,28,44,0,32,36,0,18,0,0,2,4,60,70,12,12,60,0,40,14,28,26,38,3624,70
3,0,0,8,2,50,28,24,0,24,0,56,0,26,18,14,0,26,42,38,26,28,0,0,20,52,0,56,32,44,0,62,26,2,0,0,46,8,0,0,56,24,64,0,58,28,52,50,46,38,46,30,0,28,32,18,0,20,0,0,46,0,44,56,0,2,0,0,0,12,52,14,44,0,0,26,6,0,12,0,0,0,58,0,2,0,52,0,2,46,46,0,14,32,18,14,0,34,14,0,42,38,26,44,0,44,0,68,24,0,44,0,0,32,0,0,30,14,0,0,46,46,6,26,38,0,34,0,0,0,0,0,18,2,68,64,14,14,62,0,0,0,32,26,32,2928,68
4,14,34,14,0,26,52,48,50,36,2,54,0,0,0,14,0,18,0,42,16,50,54,2,28,0,4,62,28,56,0,52,0,4,0,52,44,8,62,60,52,26,62,54,56,42,50,48,0,0,42,28,38,0,30,12,6,24,8,0,40,0,52,62,52,22,34,44,0,4,0,18,0,22,26,0,38,30,24,14,28,0,0,4,4,0,38,0,2,50,34,0,14,60,8,0,34,42,2,4,50,6,38,0,66,0,0,52,16,0,24,0,0,0,0,0,26,14,8,0,38,50,0,0,36,0,40,0,54,0,52,66,38,0,62,0,14,14,62,0,0,12,24,0,0,3232,66
5,14,12,14,2,54,52,0,50,18,0,42,0,26,30,14,34,18,52,54,22,42,56,2,20,58,0,58,22,36,40,44,18,6,58,50,42,12,68,60,52,40,56,52,54,54,0,48,42,0,0,26,36,0,30,6,2,30,10,0,0,0,58,64,44,0,0,14,54,10,58,26,0,16,22,18,50,42,0,10,30,56,60,0,0,54,0,22,2,40,48,0,0,0,0,2,0,36,18,24,56,14,0,70,0,54,64,36,0,0,14,10,18,20,0,26,0,26,0,16,42,54,0,26,0,42,42,18,50,2,58,40,0,0,70,68,14,14,0,0,34,0,24,18,0,3656,70
6,14,34,12,0,54,34,46,0,36,4,36,4,16,32,0,36,24,44,52,0,0,58,4,16,0,0,0,20,42,0,38,16,0,68,46,38,0,58,60,48,56,0,54,54,66,48,46,40,60,0,24,34,48,24,4,8,34,8,62,0,0,64,68,0,42,0,14,48,24,52,32,0,12,16,14,48,38,54,8,46,58,60,16,0,60,0,14,0,48,40,10,24,0,0,14,0,10,36,42,68,32,58,72,36,64,0,32,0,48,10,4,24,16,8,36,32,0,0,0,48,62,0,24,0,0,42,14,44,0,56,0,0,4,66,72,0,20,68,0,0,10,32,24,38,3836,72
7,0,0,14,4,40,48,46,36,26,0,38,0,32,20,0,34,22,54,44,30,46,0,4,16,60,0,42,10,46,64,0,2,18,60,44,32,44,0,58,46,66,0,54,52,0,48,46,38,58,36,22,30,0,22,2,14,38,12,68,0,24,0,64,38,0,34,10,0,34,46,36,12,6,0,12,42,0,58,4,36,0,0,22,0,60,0,24,10,0,44,12,32,52,14,22,0,14,48,0,72,0,68,0,24,72,0,32,6,36,0,0,32,14,6,38,18,36,4,32,48,0,40,24,32,26,38,0,0,10,0,34,60,6,72,66,20,0,72,58,0,14,16,22,32,3676,72
8,18,36,20,4,58,52,48,54,30,0,38,0,24,38,12,34,0,56,58,0,0,56,4,0,62,64,34,2,0,62,22,0,38,56,40,26,58,58,56,40,68,58,52,48,54,0,44,36,0,34,0,26,56,0,0,30,42,0,66,38,12,68,62,0,0,30,2,56,0,38,0,6,2,6,0,46,0,32,2,34,54,42,0,0,62,0,26,20,58,0,18,44,0,0,38,62,34,54,68,58,0,66,0,20,68,0,0,10,34,6,6,34,10,4,44,34,40,4,0,0,62,46,0,0,24,0,12,30,20,58,34,58,12,64,68,32,26,68,58,44,0,40,22,34,4136,68
9,20,36,20,16,40,48,0,50,46,16,0,0,32,54,0,32,32,48,64,26,54,0,4,66,18,68,28,0,32,0,0,20,0,0,32,20,70,0,52,32,0,54,46,44,50,44,42,36,48,28,16,28,54,20,0,0,0,6,0,0,6,60,46,0,0,20,0,32,44,32,48,18,0,0,4,34,32,52,2,2,0,0,28,6,50,48,32,22,24,6,20,50,0,32,0,72,44,60,68,38,64,46,0,0,0,8,18,0,0,22,18,32,2,8,50,26,52,2,44,38,50,48,34,32,16,24,20,0,0,72,0,52,28,68,70,40,32,66,68,20,20,44,28,42,3928,72
